0,1,2,3,4,5,6,7,8,9
"
MOBRUK



","321,0000","-10,0000","-3,02%",793,4 234 042,"330,0000","338,0000","316,0000",02.01 17:00
"
MOJ



","1,9000","0,0000","0,00%",1,2 280,"1,9000","1,9000","1,9000",02.01 11:09
"
MOL



","31,9600","-0,0400","-0,12%",167,3 887 583,"32,0000","32,3000","31,9600",02.01 17:00
"
MOLECURE



","19,9000","0,4000","2,05%",204,485 530,"20,6500","20,7500","19,6800",02.01 17:00
"
MONNARI



","5,5800","0,1400","2,57%",34,101 103,"5,4600","5,5800","5,4600",02.01 17:00
"
MOSTALPLC



","17,2000","-0,3000","-1,71%",22,20 579,"18,0000","18,0000","16,9000",02.01 17:00
"
MOSTALWAR



","6,9000","0,3600","5,50%",39,64 216,"6,6800","6,9000","6,5600",02.01 16:13
"
MOSTALZAB



","4,2350","0,0000","0,00%",146,302 142,"4,1900","4,2400","4,1750",02.01 17:00
"
MOVIEGAMES



","26,7500","0,0500","0,19%",212,336 683,"26,5000","27,2500","26,0000",02.01 16:42
"
MURAPOL



","36,7500","-0,1500","-0,41%",342,1 045 809,"37,0000","37,5000","36,6650",02.01 17:00
"
MUZA



","14,4000","0,5000","3,60%",150,268 818,"14,1000","14,5000","14,0000",02.01 16:46
"
MWTRADE



","6,0000","0,1000","1,69%",1,12,"6,0000","6,0000","6,0000",02.01 10:13
"
NANOGROUP



","0,9420","0,0140","1,51%",63,83 427,"0,9220","0,9680","0,9000",02.01 16:40
"
NEUCA



","879,0000","-46,0000","-4,97%",176,4 433 043,"925,0000","925,0000","875,0000",02.01 17:00
"
NEWAG



","20,9000","-0,7000","-3,24%",133,172 798,"21,6000","21,6000","20,7000",02.01 17:00
"
NEXITY



","2,6600","-0,0400","-1,48%",2,45,"2,7000","2,7000","2,6600",02.01 13:57
"
NOVATURAS



","16,4500","0,0000","0,00%",2,576,"16,4500","16,4500","16,4500",02.01 13:29
"
NOVAVISGR



","2,0800","0,0100","0,48%",59,197 839,"2,0700","2,2600","2,0700",02.01 17:00
"
NOVITA



","120,0000","-5,0000","-4,00%",28,33 018,"124,0000","126,0000","119,0000",02.01 16:12
"
NTCAPITAL



","0,6700","0,0100","1,52%",2,107,"0,6700","0,6700","0,6700",02.01 11:18
"
NTTSYSTEM



","5,6000","0,2200","4,09%",111,250 301,"5,5000","5,7000","5,5000",02.01 16:24
"
ODLEWNIE



","10,2000","0,7500","7,94%",80,121 633,"10,2000","10,4000","9,7500",02.01 16:43
"
OEX



","48,5000","2,1000","4,53%",41,175 933,"46,8000","50,2000","43,1000",02.01 16:11
"
ONDE



","16,3000","-0,8000","-4,68%",379,1 222 986,"17,1000","17,1000","16,2200",02.01 17:00
"
ONESANO



","1,1900","-0,0150","-1,24%",16,33 346,"1,2100","1,2250","1,1900",02.01 15:19
"
OPENFIN



","0,0540","0,0000","0,00%",7,1 501,"0,0550","0,0550","0,0540",02.02 15:00
"
OPONEO.PL



","48,6000","-0,5000","-1,02%",67,175 126,"49,0000","49,0000","48,2000",02.01 17:00
"
OPTEAM



","5,7000","0,1200","2,15%",13,6 968,"5,5400","5,7000","5,5000",02.01 13:02
"
ORANGEPL



","8,1940","0,0540","0,66%",1 730,12 152 588,"8,1100","8,2280","8,1100",02.01 17:00
"
ORCOGROUP



","2,3400","0,1800","8,33%",1,33,"2,3400","2,3400","2,3400",02.01 13:51
"
ORZBIALY



","34,4000","-0,4000","-1,15%",2,173,"35,0000","35,0000","34,4000",02.01 15:00
"
OTLOG



","36,5000","0,3000","0,83%",164,356 834,"36,2000","37,4000","36,0000",02.01 17:00
"
OTMUCHOW



","3,9400","0,0400","1,03%",9,20 530,"3,9400","3,9600","3,9400",02.01 13:29
"
OVOSTAR



","72,5000","0,0000","0,00%",5,12 747,"72,5000","72,5000","72,0000",02.01 12:55
"
PAMAPOL



","3,0400","0,0650","2,18%",11,9 745,"2,9800","3,0400","2,9300",02.01 16:45
"
PANOVA



","18,3000","1,4000","8,28%",44,232 916,"17,0000","18,3000","16,8000",02.01 17:00
"
PASSUS



","24,0000","2,2000","10,09%",37,56 007,"22,0000","24,2000","22,0000",02.01 15:17
"
PATENTUS



","3,6900","0,1000","2,79%",101,121 112,"3,5500","3,7600","3,5200",02.01 17:02
"
PBG



","0,0160","-0,0006","-3,61%",51,27 337,"0,0160","0,0160","0,0160",27.12 12:32
"
PBSFINANSE



","1,1000","0,0900","8,91%",2,1 277,"1,1000","1,1000","1,1000",02.01 15:09
"
PCCEXOL



","2,9400","0,0350","1,20%",111,138 044,"2,9100","2,9700","2,9100",02.01 16:42
"
PCCROKITA



","97,4000","1,5000","1,56%",256,698 952,"96,9000","97,5000","96,5000",02.01 17:02
"
PCFGROUP



","30,7000","1,2500","4,24%",89,132 479,"29,7000","30,7000","29,4500",02.01 16:48
"
PEKABEX



","23,2000","1,4000","6,42%",176,879 403,"22,5000","23,7000","22,2000",02.01 17:00
"
PEKAO



","149,0000","-3,0500","-2,01%",7 038,67 105 336,"152,0000","152,9000","147,0000",02.01 17:03
"
PEMUG



","0,8860","-0,0040","-0,45%",28,29 053,"0,8800","0,9100","0,8700",02.10 16:37
"
PEP



","76,0000","-0,8000","-1,04%",667,240 045,"77,0000","77,7000","74,8000",02.01 17:01
"
PEPCO



","25,5200","-0,5400","-2,07%",3 140,16 815 856,"26,3000","26,4000","25,2800",02.01 17:00
"
PEPEES



","1,2100","0,0100","0,83%",7,5 045,"1,2000","1,2100","1,2000",02.01 16:00
"
PETROLINV



","1,9400","0,6200","46,97%",1 465,1 637 107,"1,5000","2,0000","1,5000",28.06 17:04
"
PGE



","8,5720","-0,1060","-1,22%",2 307,7 929 821,"8,5700","8,8100","8,5400",02.01 17:00
"
PGFGROUP



","0,5240","0,0270","5,43%",70,52 413,"0,4870","0,5320","0,4870",02.01 17:03
"
PGNIG



","5,1480","0,0780","1,54%",5 781,102 656 320,"5,0700","5,1840","4,9800",28.10 17:02
"
PHARMENA



","7,1200","0,0200","0,28%",354,572 509,"7,4600","7,4800","6,2800",02.01 17:00
"
PHN



","13,8000","-0,2000","-1,43%",18,8 133,"13,6000","14,4000","13,6000",02.01 17:00
"
PHOTON



","8,2500","0,1300","1,60%",62,109 171,"8,1200","8,4000","8,1000",02.01 17:04
"
PJPMAKRUM



","15,9000","0,1000","0,63%",13,6 465,"15,8000","16,1000","15,8000",02.01 15:24
"
PKNORLEN



","65,5000","0,0000","0,00%",10 467,117 685 728,"65,9200","66,7800","64,8700",02.01 17:03
"
PKOBP



","49,6300","-0,6900","-1,37%",7 995,77 564 264,"50,2000","50,4800","48,8900",02.01 17:04
"
PKPCARGO



","14,3600","-0,2200","-1,51%",352,1 463 149,"14,6600","14,7200","14,3600",02.01 17:02
"
PLAYWAY



","319,0000","-1,0000","-0,31%",531,1 687 195,"323,5000","324,5000","313,0000",02.01 17:00
"
PLAZACNTR



","2,3300","0,0100","0,43%",59,53 720,"2,3500","2,3500","2,2400",02.01 17:00
"
PMPG



","3,0000","0,1600","5,63%",39,2 685,"2,9400","3,0000","2,9400",02.01 16:00
"
POLCOLORIT



","1,9400","0,0010","0,05%",26,11 394,"1,9390","1,9980","1,8800",02.10 17:00
"
POLICE



","12,3000","0,1000","0,82%",17,55 035,"12,2000","12,3000","12,0000",02.01 17:00
"
POLIMEXMS



","4,1650","0,0050","0,12%",416,1 096 538,"4,1600","4,2600","4,1350",02.01 17:00
"
POLTREG



","49,5000","-0,3000","-0,60%",10,35 971,"49,5000","49,9000","49,5000",02.01 15:52
"
POLWAX



","2,0200","0,0200","1,00%",39,40 620,"2,0700","2,0700","2,0100",02.01 16:34
"
PRAGMAINK



","4,4000","0,0000","0,00%",4,88,"4,4000","4,4000","4,4000",02.01 10:15
"
PRIMAMODA



","0,8400","0,1300","18,31%",2,2,"0,7700","0,8400","0,7700",04.05 15:00
"
PRIMETECH



","0,7800","0,0100","1,30%",4,2 157,"0,7800","0,7800","0,7800",29.12 15:00
"
PROCHEM



","30,6000","0,8000","2,68%",1,92,"30,6000","30,6000","30,6000",02.01 09:00
"
PROTEKTOR



","1,8640","0,0700","3,90%",79,35 043,"1,8160","1,8700","1,7500",02.01 14:34
"
PULAWY



","61,8000","0,4000","0,65%",12,11 319,"61,4000","61,8000","61,4000",02.01 15:25
"
PURE



","11,4200","-1,2200","-9,65%",1 921,4 609 403,"12,6400","14,4000","11,3000",02.01 17:04
"
PZU



","47,3500","0,0800","0,17%",3 393,40 612 760,"47,2700","47,6800","46,9300",02.01 17:04
"
QUANTUM



","24,2000","0,0000","0,00%",3,1 960,"24,2000","24,2000","24,2000",02.01 15:00
"
QUERCUS



","5,7200","-0,0800","-1,38%",118,176 314,"5,9000","5,9000","5,7000",02.01 17:00
"
RAEN



","0,8600","0,0620","7,77%",335,565 008,"0,7800","0,9280","0,7200",02.01 17:00
"
RAFAKO



","1,1700","0,0820","7,54%",6 649,18 592 830,"1,2200","1,3860","1,0900",02.01 17:01
"
RAFAMET



","16,4000","0,0000","0,00%",1,98,"16,4000","16,4000","16,4000",02.01 13:36
"
RAINBOW



","60,2000","-0,8000","-1,31%",468,1 323 972,"61,0000","61,8000","58,8000",02.01 17:00
"
RANKPROGR



","2,4900","-0,0300","-1,19%",22,94 243,"2,6200","2,6200","2,4300",02.01 17:00
"
RAWLPLUG



","15,5000","0,2500","1,64%",17,171 124,"15,2000","15,5000","15,1000",02.01 17:00
"
REDAN



","0,5150","0,1310","34,11%",132,143 607,"0,4700","0,5150","0,4400",02.01 10:02
"
REINHOLD



","0,0800","0,0050","6,67%",6,1 115,"0,0800","0,0800","0,0800",27.12 12:54
"
REINO



","1,4300","0,0300","2,14%",1,3,"1,4300","1,4300","1,4300",02.01 09:02
"
RELPOL



","7,4000","0,2000","2,78%",46,88 079,"7,2200","7,4400","7,1200",02.01 16:28
"
REMAK



","14,0000","-0,2500","-1,75%",25,35 716,"14,2500","14,7000","14,0000",02.01 16:28
"
RESBUD



","0,5960","-0,0060","-1,00%",20,13 904,"0,6020","0,6020","0,5700",02.01 15:57
"
ROPCZYCE



","31,4000","0,5000","1,62%",32,33 448,"30,8000","31,4000","30,8000",02.01 13:45
"
RYVU



","56,5000","-1,0000","-1,74%",157,457 028,"57,4000","59,9000","56,1000",02.01 17:00
"
SANOK



","24,5000","-0,1000","-0,41%",47,84 600,"24,7000","24,8000","24,4000",02.01 17:01
"
SANPL



","484,6000","-5,2000","-1,06%",2 150,20 357 064,"486,4000","489,6000","473,4000",02.01 17:00
"
SANTANDER



","16,5620","-0,0780","-0,47%",16,45 120,"16,6400","16,8560","16,4840",02.01 15:27
"
SANWIL



","1,7800","0,0300","1,71%",37,42 647,"1,7450","1,7950","1,7200",02.01 15:48
"
SATIS



","0,5000","0,0200","4,17%",12,14 515,"0,4890","0,5000","0,4800",02.01 14:45
"
SCPFL



","200,0000","4,0000","2,04%",188,553 011,"200,0000","203,0000","196,0000",02.01 17:00
"
SECOGROUP



","30,8000","0,8000","2,67%",8,25 815,"29,4000","30,8000","29,4000",02.01 16:44
"
SEKO



","11,6000","-0,3000","-2,52%",12,16 410,"12,4000","12,5000","11,6000",02.01 16:00
"
SELENAFM



","38,2000","-0,1000","-0,26%",36,73 037,"38,8000","38,8000","37,5000",02.01 16:32
"
SELVITA



","58,8000","0,3000","0,51%",91,255 454,"58,7000","59,5000","58,7000",02.01 17:00
"
SERINUS



","2,5500","-0,0100","-0,39%",24,16 133,"2,5600","2,5600","2,4550",02.01 17:00
"
SESCOM



","40,2000","0,0000","0,00%",20,16 780,"40,2000","41,0000","40,0000",02.01 16:32
"
SFINKS



","0,8000","0,0200","2,56%",37,56 432,"0,7800","0,8200","0,7600",02.01 16:08
"
SHOPER



","33,9000","0,9000","2,73%",48,231 540,"33,0000","34,3000","33,0000",02.01 17:03
"
SILVAIR-REGS



","4,9200","0,0000","0,00%",2,40,"5,0000","5,0000","4,9200",29.12 14:26
"
SILVANO



","6,3300","0,7500","13,44%",18,38 512,"5,5000","6,5000","5,5000",02.01 14:23
"
SIMFABRIC



","2,9100","0,1300","4,68%",193,327 177,"2,7800","2,9400","2,6000",02.01 16:49
"
SKARBIEC



","26,3000","0,8000","3,14%",55,185 444,"25,5000","27,0000","25,4000",02.01 17:00
"
SKYLINE



","1,7600","-0,0400","-2,22%",1,1 026,"1,7600","1,7600","1,7600",02.01 13:26
"
SLEEPZAG



","0,5500","-0,0150","-2,65%",36,31 961,"0,5800","0,5850","0,5300",09.11 11:00
"
SNIEZKA



","84,6000","3,4000","4,19%",30,30 576,"83,6000","84,6000","82,0000",02.01 17:00
"
SNTVERSE



","4,4120","0,1420","3,33%",362,820 438,"4,2980","4,5300","4,2940",02.01 17:00
"
SOHODEV



","0,4020","-0,0590","-12,80%",7,2 977,"0,4590","0,4590","0,4020",02.01 15:00
"
SOLAR



","4,0800","-0,0200","-0,49%",1,408,"4,0800","4,0800","4,0800",02.01 10:29
"
SONEL



","12,9000","0,0000","0,00%",18,18 461,"12,9500","13,0000","12,7000",02.01 15:58
"
SOPHARMA



","13,0000","-1,1000","-7,80%",8,10 290,"14,1000","14,1000","13,0000",02.01 15:48
"
SPYROSOFT



","564,0000","-14,0000","-2,42%",65,1 445 118,"576,0000","576,0000","550,0000",02.01 17:00
"
STALEXP



","3,2000","0,0200","0,63%",67,182 919,"3,1800","3,2000","3,1800",02.01 17:00
"
STALPROD



","234,5000","-6,5000","-2,70%",142,465 286,"241,0000","243,0000","232,0000",02.01 17:02
"
STALPROFI



","8,7300","0,1600","1,87%",91,62 558,"8,5700","8,7400","8,5600",02.01 16:28
"
STAPORKOW



","2,8000","0,0100","0,36%",3,6 618,"2,7000","2,8000","2,7000",02.01 13:06
"
STARHEDGE



","0,3060","0,0000","0,00%",1,31,"0,3060","0,3060","0,3060",02.01 15:00
"
STSHOLDING



","24,6000","-0,1000","-0,40%",28,80 703,"24,6500","24,7000","24,5500",04.10 17:00
"
SUNEX



","11,7400","0,1000","0,86%",187,325 235,"11,7600","11,8800","11,6000",02.01 17:03
"
SUWARY



","31,0000","-1,0000","-3,12%",1,62,"31,0000","31,0000","31,0000",17.05 09:49
"
SYGNITY



","43,9000","2,1000","5,02%",53,122 076,"42,0000","45,1000","42,0000",02.01 17:00
"
SYNEKTIK



","83,8000","-2,2000","-2,56%",1 692,2 637 964,"87,8000","88,4000","83,0000",02.01 17:00
"
TALEX



","17,0000","0,0000","0,00%",5,170,"17,0000","17,0000","17,0000",02.01 09:02
"
TARCZYNSKI



","49,5000","0,3000","0,61%",12,15 571,"49,0000","50,0000","48,5000",02.01 17:00
"
TATRY



","130,0000","0,0000","0,00%",2,4 290,"130,0000","130,0000","130,0000",27.12 16:26
"
TAURONPE



","3,7120","-0,0220","-0,59%",1 529,7 139 543,"3,7340","3,7940","3,6820",02.01 17:01
"
TBULL



","4,6200","0,0200","0,43%",3,1 076,"4,6200","4,6200","4,6200",02.01 15:00
"
TENDERHUT



","8,8500","0,0000","0,00%",17,5 027,"8,8500","9,4000","8,7000",02.01 12:59
"
TERMOREX



","0,8400","0,0200","2,44%",3,735,"0,8200","0,8400","0,8200",02.01 10:04
"
TESGAS



","2,9000","0,0400","1,40%",11,13 293,"2,8600","2,9000","2,8600",02.01 17:00
"
TEXT



","119,0000","3,2000","2,76%",566,2 060 924,"116,6000","119,6000","115,8000",02.01 17:00
"
TIM



","46,9500","0,3000","0,64%",55,144 807,"48,0000","48,0000","46,7500",02.01 17:00
"
TORPOL



","23,4000","1,1000","4,93%",279,820 508,"22,3500","23,5500","22,3500",02.01 17:00
"
TOWERINVT



","8,9000","0,0000","0,00%",1,2 982,"8,9000","8,9000","8,9000",02.01 15:21
"
TOYA



","8,6200","0,2700","3,23%",650,1 349 099,"8,4100","8,7200","8,4100",02.01 17:00
"
TRAKCJA



","1,6900","-0,0250","-1,46%",115,134 648,"1,7050","1,7550","1,6600",02.01 16:48
"
TRANSPOL



","3,6400","0,0800","2,25%",12,9 796,"3,7000","3,7000","3,5200",02.01 16:15
"
TRITON



","4,7200","0,3400","7,76%",2,260,"4,3800","4,7200","4,3800",29.12 15:00
"
TSGAMES



","97,4000","1,0000","1,04%",863,6 579 442,"97,0000","98,8000","96,4500",02.01 17:00
"
ULMA



","75,0000","0,0000","0,00%",9,32 918,"74,0000","75,0000","72,0000",02.01 17:00
"
ULTGAMES



","9,7800","-0,2200","-2,20%",119,192 838,"10,0500","10,0500","9,4400",02.01 17:00
"
UNFOLD



","1,5600","-0,1700","-9,83%",40,195 471,"1,7200","1,8900","1,5600",28.09 17:00
"
UNIBEP



","9,2000","0,0800","0,88%",45,48 226,"9,2200","9,3800","9,1200",02.01 16:06
"
UNICREDIT



","106,5000","1,1000","1,04%",1,42 600,"106,5000","106,5000","106,5000",29.12 14:40
"
UNIMA



","6,3400","-0,2000","-3,06%",16,5 745,"6,5200","6,5200","6,3400",21.12 12:01
"
UNIMOT



","123,0000","-1,0000","-0,81%",199,429 718,"123,8000","123,8000","120,8000",02.01 17:00
"
URSUS



","0,0133","-0,0010","-6,99%",654,147 423,"0,0121","0,0200","0,0115",14.10 17:02
"
URTESTE



","101,0000","-8,0000","-7,34%",57,81 821,"111,0000","111,0000","100,0000",02.01 17:00
"
VERCOM



","76,4000","-1,8000","-2,30%",105,167 773,"77,2000","77,8000","75,4000",02.01 17:00
"
VIGOPHOTN



","520,0000","30,0000","6,12%",28,88 970,"524,0000","524,0000","490,0000",02.01 17:00
"
VIGOPHOTN-PDA



","518,0000","28,0000","5,71%",9,20 732,"518,0000","520,0000","518,0000",02.01 16:49
"
VINDEXUS



","10,3000","-0,3000","-2,83%",111,553 926,"10,6000","11,1000","10,0500",02.01 17:04
"
VISTAL



","0,5990","-0,0610","-9,24%",669,640 076,"0,6360","0,6990","0,5820",03.10 17:00
"
VIVID



","0,7380","-0,0500","-6,35%",74,51 110,"0,7900","0,8000","0,7160",02.01 17:00
"
VOTUM



","47,0000","1,0000","2,17%",275,588 595,"46,0000","47,7500","46,0000",02.01 17:00
"
VOXEL



","81,6000","3,0000","3,82%",244,1 187 333,"79,0000","82,8000","78,6000",02.01 17:01
"
VRG



","3,4600","0,0600","1,76%",64,94 482,"3,4500","3,5200","3,4100",02.01 17:01
"
WARIMPEX



","4,1800","-0,0200","-0,48%",44,54 790,"4,4000","4,4000","4,0000",02.01 16:45
"
WASKO



","1,6450","-0,0150","-0,90%",35,34 400,"1,6700","1,6800","1,6000",02.01 16:14
"
WAWEL



","750,0000","0,0000","0,00%",47,293 210,"746,0000","760,0000","738,0000",02.01 16:49
"
WIELTON



","9,6100","0,1100","1,16%",164,383 512,"9,5000","9,7000","9,4100",02.01 17:01
"
WIKANA



","4,9800","0,2800","5,96%",5,20 051,"4,6600","4,9800","4,6600",02.01 17:00
"
WINVEST



","0,4500","0,0000","0,00%",4,74,"0,4500","0,4500","0,4500",28.12 15:00
"
WIRTUALNA



","116,0000","-5,6000","-4,61%",293,692 120,"124,2000","124,2000","116,0000",02.01 17:00
"
WITTCHEN



","30,0000","-0,1000","-0,33%",601,1 647 620,"30,1000","31,3000","29,8000",02.01 17:00
"
WOJAS



","8,0400","0,1600","2,03%",32,54 981,"7,9000","8,0800","7,8000",02.01 16:36
"
XPLUS



","1,6800","0,0400","2,44%",58,16 732,"1,6100","1,7900","1,6100",02.01 15:40
"
XTB



","38,3600","0,5400","1,43%",2 142,9 414 567,"38,1000","38,5000","37,5400",02.01 17:00
"
XTPL



","163,5000","0,5000","0,31%",82,167 604,"163,0000","165,5000","158,5000",02.01 16:49
"
YOLO



","0,3345","-0,0015","-0,45%",16,14 211,"0,3340","0,3390","0,3335",04.05 16:36
"
ZAMET



","1,6900","-0,0150","-0,88%",52,60 237,"1,7150","1,7150","1,6250",02.01 17:00
"
ZEPAK



","21,5500","-0,0500","-0,23%",216,412 575,"21,6000","21,9000","21,3500",02.01 17:00
"
ZPUE



","374,0000","-13,0000","-3,36%",4,10 534,"388,0000","388,0000","374,0000",01.12 09:16
"
ZREMB



","4,1900","0,4900","13,24%",640,1 109 203,"3,7000","4,4300","3,7000",02.01 17:00
"
ZUE



","7,9800","-0,2400","-2,92%",220,481 961,"8,2000","8,2000","7,8200",02.01 16:44
"
ZYWIEC



","481,0000","-2,0000","-0,41%",16,971 786,"483,0000","483,0000","480,0000",13.01 14:31
