0,1,2,3,4,5,6,7,8,9
"
BNPPPL



","82,8000","-2,8000","-3,27%",49,136 813,"85,6000","86,6000","79,4000",02.01 16:24
"
BOGDANKA



","34,3600","0,3400","1,00%",562,1 923 277,"34,1800","34,8800","33,8200",02.01 17:00
"
BOOMBIT



","11,2500","0,3000","2,74%",23,26 185,"10,8500","11,3000","10,8500",02.01 16:26
"
BORYSZEW



","6,1000","-0,0700","-1,13%",79,141 923,"6,1700","6,2200","6,1000",02.01 16:46
"
BOS



","10,8800","-0,3600","-3,20%",224,462 458,"11,1000","11,3600","10,3200",02.01 17:00
"
BOWIM



","7,1000","0,2000","2,90%",95,122 416,"7,1000","7,1800","7,0000",02.01 16:42
"
BRAND24



","35,5000","-0,5000","-1,39%",119,245 370,"37,0000","37,0000","34,5000",02.01 16:43
"
BRASTER



","0,5800","-0,0300","-4,92%",18,8 880,"0,5840","0,6000","0,5740",04.05 17:00
"
BUDIMEX



","636,0000","10,0000","1,60%",1 161,11 934 494,"631,0000","636,0000","613,0000",02.01 17:00
"
BUMECH



","17,1500","-0,8500","-4,72%",568,1 168 677,"18,0000","18,2900","16,5000",02.01 17:00
"
CAPITAL



","0,8000","-0,0100","-1,23%",6,4 104,"0,8000","0,8000","0,8000",02.01 11:22
"
CAPITEA



","0,7550","-0,0450","-5,63%",442,694 722,"0,7900","0,8000","0,7250",02.01 17:01
"
CAPTORTX



","100,0000","1,0000","1,01%",21,34 175,"100,0000","102,0000","98,4000",02.01 16:46
"
CASPAR



","8,9000","0,3000","3,49%",2,26,"8,6000","8,9000","8,6000",02.01 17:00
"
CAVATINA



","16,8000","-0,1500","-0,88%",15,3 368,"16,9500","17,0000","16,1000",02.01 16:22
"
CCC



","59,2000","-1,9600","-3,20%",1 791,13 067 187,"61,2000","62,7000","58,9000",02.01 17:02
"
CCENERGY



","0,3080","-0,0020","-0,65%",1,308,"0,3080","0,3080","0,3080",02.01 11:00
"
CDPROJEKT



","111,9000","-3,1000","-2,70%",9 456,44 774 880,"115,0500","115,8500","109,9500",02.01 17:03
"
CDRL



","11,8000","0,6000","5,36%",25,28 254,"12,0000","12,6000","10,9000",02.01 13:24
"
CELTIC



","4,4700","-0,0200","-0,45%",13,40 517,"4,6500","4,6500","4,3700",02.01 16:38
"
CEZ



","172,0000","3,0000","1,78%",75,206 519,"169,0000","172,9000","168,0000",02.01 16:36
"
CFI



","0,2300","0,0020","0,88%",5,2 324,"0,2200","0,2300","0,2200",02.01 16:07
"
CIECH



","53,0000","-0,2000","-0,38%",84,544 366,"53,2000","53,4000","53,0000",06.11 17:00
"
CIGAMES



","2,0950","0,0000","0,00%",642,1 503 397,"2,1200","2,1250","2,0650",02.01 17:03
"
CITYSERV



","6,0000","0,3500","6,19%",3,572,"5,9000","6,0000","5,9000",02.01 16:01
"
CLNPHARMA



","15,7600","0,3000","1,94%",166,284 475,"15,4800","15,8000","15,4800",02.01 17:02
"
CLOUD



","66,0000","-0,8000","-1,20%",21,54 100,"66,8000","68,0000","66,0000",02.01 15:57
"
CNT



","13,2000","0,2000","1,54%",53,145 721,"13,0000","13,5000","12,3000",23.05 17:00
"
COALENERG



","1,0360","-0,0020","-0,19%",69,43 772,"0,9940","1,0400","0,9800",02.01 16:26
"
COGNOR



","8,2000","-0,1400","-1,68%",281,772 076,"8,3800","8,3800","8,1200",02.01 16:49
"
COLUMBUS



","5,6100","-0,0500","-0,88%",134,245 119,"5,8000","5,8200","5,6000",02.01 17:04
"
COMARCH



","207,0000","-1,0000","-0,48%",108,447 706,"210,0000","215,0000","207,0000",02.01 17:00
"
COMP



","74,8000","0,2000","0,27%",47,424 825,"73,4000","75,0000","73,4000",02.01 17:00
"
COMPERIA



","7,3000","0,4000","5,80%",2,458,"6,9500","7,3000","6,9500",02.01 11:44
"
COMPREMUM



","2,1700","0,0300","1,40%",35,36 795,"2,1700","2,1700","2,1100",02.01 17:00
"
CORMAY



","0,6100","0,0220","3,74%",54,23 038,"0,5880","0,6240","0,5880",02.01 17:00
"
CPGROUP



","10,2000","0,0000","0,00%",1,20,"10,2000","10,2000","10,2000",27.06 09:00
"
CREEPYJAR



","621,0000","23,0000","3,85%",94,315 176,"605,0000","630,0000","602,0000",02.01 17:00
"
CREOTECH



","192,5000","2,5000","1,32%",68,183 319,"196,0000","196,0000","191,5000",02.01 17:03
"
CREOTECH-PDA



","219,0000","-1,0000","-0,45%",40,175 193,"220,0000","220,0000","214,0000",04.12 17:00
"
CYBERFLKS



","85,6000","-1,8000","-2,06%",133,241 190,"89,0000","89,0000","85,6000",02.01 17:00
"
CYFRPLSAT



","12,3050","-0,0250","-0,20%",4 809,19 986 260,"12,3100","12,7500","12,2150",02.01 17:00
"
CZTOREBKA



","0,6800","0,0600","9,68%",1,32,"0,6800","0,6800","0,6800",02.01 15:00
"
DADELO



","16,0500","0,1000","0,63%",2,48,"16,2000","16,2000","16,0500",02.01 13:44
"
DATAWALK



","40,3000","4,0000","11,02%",1 578,4 305 369,"37,1500","42,5000","37,1500",02.01 17:03
"
DBENERGY



","21,1000","1,6500","8,48%",97,65 274,"19,8000","21,6000","19,7500",02.01 16:35
"
DEBICA



","71,4000","-0,6000","-0,83%",47,53 455,"72,6000","73,0000","71,2000",02.01 16:30
